tourney_id,court,surface,round,best_of,player0,player1,winner
2009049,Outdoor,Hard,7,5,93,19,1
2009049,Outdoor,Hard,7,5,41,6,1
2009049,Outdoor,Hard,7,5,75,9,1
2009049,Outdoor,Hard,6,5,137,32,1
2009049,Outdoor,Hard,6,5,65,1,1
2009049,Outdoor,Hard,6,5,77,21,1
2009049,Outdoor,Hard,6,5,79,276,1
2009049,Outdoor,Hard,6,5,61,10,1
2009049,Outdoor,Hard,6,5,100,22,1
2009049,Outdoor,Hard,6,5,50,15,1
2009049,Outdoor,Hard,6,5,60,161,1
2009049,Outdoor,Hard,6,5,70,8,1
2009049,Outdoor,Hard,6,5,59,16,1
2009049,Outdoor,Hard,6,5,90,23,1
2009049,Outdoor,Hard,6,5,88,12,1
2009049,Outdoor,Hard,6,5,231,55,1
2009049,Outdoor,Hard,6,5,155,4,1
2009049,Outdoor,Hard,6,5,162,24,1
2009049,Outdoor,Hard,6,5,81,5,1
2009049,Outdoor,Hard,6,5,54,7,1
2009049,Outdoor,Hard,6,5,39,25,1
2009049,Outdoor,Hard,6,5,135,17,1
2009049,Outdoor,Hard,6,5,31,43,1
2009049,Outdoor,Hard,6,5,38,6,1
2009049,Outdoor,Hard,6,5,163,108,1
2009049,Outdoor,Hard,6,5,76,18,1
2009049,Outdoor,Hard,6,5,68,62,1
2009049,Outdoor,Hard,6,5,69,9,1
2009049,Outdoor,Hard,6,5,87,2,1
2009049,Outdoor,Hard,6,5,75,33,1
2009049,Outdoor,Hard,6,5,103,11,1
2009049,Outdoor,Hard,6,5,40,13,1
2009049,Outdoor,Hard,6,5,119,196,1
2009049,Outdoor,Hard,6,5,19,47,1
2009049,Outdoor,Hard,6,5,129,3,1
2009049,Outdoor,Hard,5,5,276,4,1
2009049,Outdoor,Hard,5,5,24,16,1
2009049,Outdoor,Hard,5,5,32,1,1
2009049,Outdoor,Hard,5,5,161,8,1
2009049,Outdoor,Hard,5,5,21,10,1
2009049,Outdoor,Hard,5,5,22,12,1
