tournament,court,surface,round_imp,best_of,player0,player1,rank0,rank1,winner
"Heineken Open",Outdoor,Hard,7,3,"van Lottum J.","Woodruff C.",66,56,0
"Heineken Open",Outdoor,Hard,6,3,"Balcells J.","Haas T.",211,11,0
"Heineken Open",Outdoor,Hard,6,3,"Chang M.","Sell M.",50,167,0
"Heineken Open",Outdoor,Hard,6,3,"Ferrero J.C.","Martin A.",45,48,0
"Heineken Open",Outdoor,Hard,6,3,"Gaudio G.","Novak J.",72,38,0
"Heineken Open",Outdoor,Hard,6,3,"Gustafsson M.","Johansson T.",60,43,0
"Heineken Open",Outdoor,Hard,6,3,"Norman M.","Gambill J.M.",14,57,0
"Heineken Open",Outdoor,Hard,6,3,"Rosset M.","van Lottum J.",46,66,0
"Heineken Open",Outdoor,Hard,6,3,"Schalken S.","Behrend T.",37,115,0
"Heineken Open",Outdoor,Hard,3,3,"Balcells J.","Ferrero J.C.",211,45,0
"Heineken Open",Outdoor,Hard,3,3,"Chang M.","Gustafsson M.",50,60,0
"Heineken Open",Outdoor,Hard,3,3,"Gaudio G.","Schalken S.",72,37,0
"Heineken Open",Outdoor,Hard,3,3,"Norman M.","Rosset M.",14,46,0
"Heineken Open",Outdoor,Hard,2,3,"Chang M.","Balcells J.",50,211,0
"Heineken Open",Outdoor,Hard,2,3,"Norman M.","Gaudio G.",14,72,0
"Heineken Open",Outdoor,Hard,1,3,"Norman M.","Chang M.",14,50,0
"Sydney International",Outdoor,Hard,7,3,"Arazi H.","Mantilla F.",42,25,0
"Sydney International",Outdoor,Hard,7,3,"Clavet F.","Kuerten G.",39,5,0
"Sydney International",Outdoor,Hard,7,3,"Clement A.","Zabaleta M.",55,32,0
"Sydney International",Outdoor,Hard,7,3,"Corretja A.","Pioline C.",28,15,0
"Sydney International",Outdoor,Hard,7,3,"Dosedel S.","Woodforde M.",69,128,0
"Sydney International",Outdoor,Hard,7,3,"Hewitt L.","Grosjean S.",21,27,0
"Sydney International",Outdoor,Hard,7,3,"Hrbaty D.","Ullyett K.",23,193,0
"Sydney International",Outdoor,Hard,7,3,"Ilie A.","Costa A.",47,18,0
"Sydney International",Outdoor,Hard,7,3,"Koubek S.","Meligeni F.",40,29,0
"Sydney International",Outdoor,Hard,7,3,"Kucera K.","Damm M.",17,88,0
"Sydney International",Outdoor,Hard,7,3,"Lapentti N.","El Aynaoui Y.",7,31,0
"Sydney International",Outdoor,Hard,7,3,"Ljubicic I.","Safin M.",79,24,0
"Sydney International",Outdoor,Hard,7,3,"Martin T.","Medvedev A.",8,33,0
"Sydney International",Outdoor,Hard,7,3,"Stoltenberg J.","Diaz J.",94,84,0
"Sydney International",Outdoor,Hard,7,3,"Vacek D.","Lisnard J.",41,127,0
"Sydney International",Outdoor,Hard,7,3,"Voinea A.","Spadea V.",102,20,0
"Sydney International",Outdoor,Hard,6,3,"Corretja A.","Arazi H.",28,42,0
"Sydney International",Outdoor,Hard,6,3,"Dosedel S.","Ilie A.",69,47,0
