court,round,best_of,player0,player1,winner
Indoor,7,3,98,241,player0
Indoor,7,3,64,179,player0
Indoor,7,3,82,127,player0
Indoor,7,3,188,99,player0
Indoor,7,3,143,71,player0
Indoor,7,3,97,117,player0
Indoor,7,3,17,73,player0
Indoor,7,3,60,66,player0
Indoor,7,3,79,46,player0
Indoor,7,3,125,584,player0
Indoor,7,3,120,100,player0
Indoor,6,3,42,97,player0
Indoor,6,3,44,64,player0
Indoor,6,3,53,188,player0
Indoor,6,3,95,120,player0
Indoor,6,3,98,143,player0
Indoor,6,3,82,125,player0
Indoor,6,3,17,94,player0
Indoor,6,3,79,60,player0
Indoor,3,3,44,98,player0
Indoor,3,3,53,82,player0
Indoor,3,3,17,95,player0
Indoor,3,3,79,42,player0
Indoor,2,3,17,44,player0
Indoor,2,3,79,53,player0
Indoor,1,3,17,79,player0
Indoor,7,3,175,123,player0
Indoor,7,3,419,104,player0
Indoor,7,3,135,?,player0
Indoor,7,3,99,126,player0
Indoor,7,3,109,100,player0
Indoor,7,3,131,227,player0
Indoor,7,3,204,94,player0
Indoor,7,3,127,95,player0
Indoor,7,3,118,90,player0
Indoor,7,3,596,122,player0
Indoor,7,3,113,93,player0
Indoor,7,3,96,176,player0
Indoor,7,3,105,106,player0
Indoor,7,3,97,193,player0
Indoor,7,3,125,116,player0
Indoor,7,3,112,101,player0
Indoor,6,3,76,127,player0
Indoor,6,3,43,131,player0
Indoor,6,3,46,109,player0
Indoor,6,3,70,113,player0
Indoor,6,3,55,105,player0
Indoor,6,3,64,99,player0
Indoor,6,3,21,596,player0
Indoor,6,3,78,112,player0
Indoor,6,3,135,57,player0
Indoor,6,3,16,419,player0
Indoor,6,3,118,30,player0
Indoor,6,3,58,175,player0
Indoor,6,3,56,96,player0
Indoor,6,3,97,38,player0
Indoor,6,3,65,204,player0
Indoor,6,3,37,125,player0
Indoor,5,3,76,37,player0
Indoor,5,3,43,64,player0
Indoor,5,3,46,135,player0
Indoor,5,3,21,65,player0
Indoor,5,3,78,16,player0
Indoor,5,3,118,70,player0
Indoor,5,3,58,97,player0
Indoor,5,3,56,55,player0
Indoor,3,3,76,43,player0
Indoor,3,3,21,46,player0
Indoor,3,3,78,56,player0
Indoor,3,3,118,58,player0
Indoor,2,3,76,21,player0
Indoor,2,3,78,118,player0
Indoor,1,3,78,76,player0
Indoor,7,3,69,9,player0
Indoor,7,3,280,61,player0
Indoor,7,3,34,84,player0
Indoor,7,3,49,33,player0
Indoor,7,3,19,36,player0
Indoor,7,3,11,51,player0
Indoor,7,3,23,26,player0
Indoor,7,3,2,121,player0
Indoor,7,3,4,44,player0
Indoor,7,3,5,50,player0
Indoor,7,3,40,41,player0
Indoor,7,3,15,81,player0
Indoor,7,3,13,29,player0
Indoor,7,3,35,28,player0
Indoor,7,3,98,12,player0
Indoor,7,3,110,63,player0
Indoor,6,3,49,98,player0
Indoor,6,3,11,35,player0
Indoor,6,3,23,69,player0
Indoor,6,3,2,34,player0
Indoor,6,3,4,40,player0
Indoor,6,3,5,110,player0
Indoor,6,3,15,19,player0
Indoor,6,3,13,280,player0
Indoor,3,3,49,5,player0
Indoor,3,3,11,23,player0
Indoor,3,3,2,13,player0
Indoor,3,3,15,4,player0
Indoor,2,3,11,2,player0
Indoor,2,3,15,49,player0
Indoor,1,3,15,11,player0
Indoor,7,3,27,60,player0
Indoor,7,3,12,78,player0
Indoor,7,3,66,4,player0
Indoor,7,3,43,26,player0
Indoor,7,3,21,63,player0
Indoor,7,3,61,142,player0
Indoor,7,3,3,36,player0
Indoor,7,3,33,39,player0
Indoor,7,3,10,50,player0
Indoor,7,3,72,69,player0
Indoor,7,3,15,54,player0
Indoor,7,3,34,37,player0
Indoor,7,3,163,53,player0
Indoor,7,3,77,68,player0
Indoor,7,3,44,41,player0
Indoor,7,3,32,11,player0
Indoor,6,3,12,33,player0
Indoor,6,3,66,61,player0
Indoor,6,3,3,44,player0
Indoor,6,3,10,77,player0
Indoor,6,3,72,21,player0
Indoor,6,3,15,43,player0
Indoor,6,3,34,27,player0
Indoor,6,3,32,163,player0
Indoor,3,3,12,10,player0
Indoor,3,3,3,34,player0
Indoor,3,3,72,66,player0
Indoor,3,3,15,32,player0
Indoor,2,3,3,15,player0
Indoor,2,3,72,12,player0
Indoor,1,3,72,3,player0
Outdoor,7,3,91,87,player0
Outdoor,7,3,74,99,player0
Outdoor,7,3,129,56,player0
Outdoor,7,3,70,90,player0
Outdoor,7,3,65,42,player0
Outdoor,7,3,67,95,player0
Outdoor,7,3,103,71,player0
Outdoor,7,3,243,101,player0
Outdoor,7,3,38,85,player0
Outdoor,7,3,6,131,player0
Outdoor,7,3,9,158,player0
Outdoor,7,3,29,377,player0
Outdoor,7,3,128,45,player0
Outdoor,7,3,57,143,player0
Outdoor,7,3,46,75,player0
Outdoor,7,3,107,55,player0
Outdoor,6,3,74,29,player0
Outdoor,6,3,129,6,player0
Outdoor,6,3,65,243,player0
Outdoor,6,3,103,107,player0
Outdoor,6,3,38,70,player0
Outdoor,6,3,9,57,player0
Outdoor,6,3,128,67,player0
Outdoor,6,3,46,91,player0
Outdoor,3,3,129,103,player0
Outdoor,3,3,38,65,player0
Outdoor,3,3,128,74,player0
Outdoor,3,3,46,9,player0
Outdoor,2,3,129,38,player0
Outdoor,2,3,128,46,player0
Outdoor,1,3,129,128,player0
Indoor,7,3,79,68,player0
Indoor,7,3,106,45,player0
Indoor,7,3,69,105,player0
Indoor,7,3,91,464,player0
Indoor,7,3,58,234,player0
Indoor,7,3,226,142,player0
Indoor,7,3,65,93,player0
Indoor,7,3,121,148,player0
Indoor,7,3,125,78,player0
Indoor,7,3,48,110,player0
Indoor,7,3,197,50,player0
Indoor,7,3,72,168,player0
Indoor,7,3,83,98,player0
Indoor,7,3,38,130,player0
Indoor,7,3,54,108,player0
Indoor,7,3,80,82,player0
Indoor,6,3,69,226,player0
Indoor,6,3,91,79,player0
Indoor,6,3,58,121,player0
Indoor,6,3,48,106,player0
Indoor,6,3,72,65,player0
Indoor,6,3,83,197,player0
Indoor,6,3,38,125,player0
Indoor,6,3,80,54,player0
Indoor,3,3,58,83,player0
Indoor,3,3,48,72,player0
Indoor,3,3,38,69,player0
Indoor,3,3,80,91,player0
Indoor,2,3,48,58,player0
Indoor,2,3,80,38,player0
Indoor,1,3,80,48,player0
Outdoor,7,3,429,89,player0
Outdoor,7,3,178,26,player0
Outdoor,7,3,42,126,player0
Outdoor,7,3,71,352,player0
Outdoor,7,3,63,114,player0
Outdoor,7,3,96,25,player0
Outdoor,7,3,97,66,player0
Outdoor,7,3,81,99,player0
Outdoor,7,3,76,41,player0
Outdoor,7,3,33,59,player0
Outdoor,7,3,140,90,player0
Outdoor,7,3,129,62,player0
Outdoor,7,3,17,67,player0
Outdoor,7,3,100,167,player0
Outdoor,7,3,104,?,player0
Outdoor,7,3,37,136,player0
Outdoor,6,3,178,429,player0
Outdoor,6,3,71,76,player0
Outdoor,6,3,96,129,player0
Outdoor,6,3,97,42,player0
Outdoor,6,3,33,63,player0
Outdoor,6,3,17,81,player0
Outdoor,6,3,100,140,player0
Outdoor,6,3,37,104,player0
Outdoor,3,3,178,37,player0
Outdoor,3,3,71,96,player0
Outdoor,3,3,97,17,player0
Outdoor,3,3,33,100,player0
Outdoor,2,3,178,97,player0
Outdoor,2,3,33,71,player0
Outdoor,1,3,33,178,player0
Outdoor,7,3,88,420,player0
Outdoor,7,3,133,87,player0
Outdoor,7,3,138,53,player0
Outdoor,7,3,70,57,player0
Outdoor,7,3,74,73,player0
Outdoor,7,3,422,77,player0
Outdoor,7,3,60,193,player0
Outdoor,7,3,220,360,player0
Outdoor,7,3,6,146,player0
Outdoor,7,3,101,28,player0
Outdoor,7,3,85,115,player0
Outdoor,7,3,84,39,player0
Outdoor,7,3,103,92,player0
Outdoor,7,3,151,7,player0
Outdoor,7,3,46,128,player0
Outdoor,7,3,111,116,player0
Outdoor,6,3,138,133,player0
Outdoor,6,3,60,422,player0
Outdoor,6,3,220,101,player0
Outdoor,6,3,6,103,player0
Outdoor,6,3,85,70,player0
Outdoor,6,3,84,74,player0
Outdoor,6,3,151,88,player0
